,tag_name,frequency
0,united states,26069
1,general overview,14161
2,legislative bodies,6632
3,press releases,5825
4,energy &amp; utility law,5746
5,executives,5612
6,associations &amp; organizations,5289
7,contracts &amp; bids,4956
8,public contracting,4834
9,us federal government,4813
10,"california, usa",4597
11,barack obama,4063
12,canada,3850
13,legislation,3671
14,writers,3461
15,us presidents,3184
16,calendars,3109
17,talks &amp; meetings,3054
18,"new york, usa",3015
19,north america,2937
20,us republican party,2833
21,banking &amp; finance,2644
22,us state government,2632
23,europe,2610
24,us democratic party,2565
25,armies,2511
26,china,2461
27,"texas, usa",2400
28,trends,2395
29,approvals,2358
30,lawyers,2327
31,armed forces,2311
32,students &amp; student life,2310
33,rules &amp; regulations,2298
34,managers &amp; supervisors,2271
35,energy departments,2259
36,engineering,2229
37,colleges &amp; universities,2121
38,utilities industry,2108
39,asia,2095
40,college &amp; university professors,2092
41,"district of columbia, usa",2069
42,public utilities commissions,2056
43,integrated disclosure,2034
44,stock exchanges,1968
45,investigations,1968
46,economic news,1964
47,market research,1935
48,us army,1923
49,"british columbia, canada",1914
50,"ontario, canada",1893
51,"pennsylvania, usa",1892
52,market research &amp; analysis,1862
53,diseases &amp; disorders,1853
54,india,1853
55,litigation,1836
56,"virginia, usa",1815
57,taxes &amp; taxation,1793
58,internet social networking,1776
59,research reports,1768
60,small business,1752
61,banking &amp; finance regulation,1748
62,manufacturing output,1744
63,agreements,1739
64,facebook inc,1721
65,fb (nasdaq),1721
66,united kingdom,1704
67,children,1701
68,"ohio, usa",1693
69,securities law,1672
70,family,1670
71,navies,1660
72,law enforcement,1658
73,"florida, usa",1636
74,"toronto, on, canada",1627
75,prices,1603
76,law courts &amp; tribunals,1583
77,health care,1576
78,us navy,1561
79,economic conditions,1556
80,computer software,1548
81,contract awards,1521
82,education systems &amp; institutions,1513
83,business &amp; professional associations,1489
84,libraries,1479
85,general releases,1454
86,environment &amp; natural resources,1448
87,"vancouver, bc, canada",1444
88,conferences &amp; conventions,1443
89,health departments,1442
90,budgets,1440
91,new products,1415
92,political parties,1395
93,job creation,1394
94,public policy,1390
95,japan,1366
96,employment growth,1339
97,financial performance &amp; reports,1277
98,market size,1250
99,"massachusetts, usa",1247
100,us air force,1244
101,regional &amp; local governments,1235
102,religion,1233
103,company strategy,1212
104,national security,1208
105,germany,1203
