,tag_name,frequency
0,united states,135416
1,general overview,75224
2,energy &amp; utility law,35016
3,contracts &amp; bids,30291
4,press releases,26995
5,public contracting,25703
6,executives,23971
7,associations &amp; organizations,21954
8,"california, usa",20912
9,legislative bodies,19647
10,us federal government,19263
11,calendars,18477
12,writers,16373
13,contract awards,15353
14,canada,15266
15,utilities industry,14619
16,energy departments,14392
17,"new york, usa",13316
18,"district of columbia, usa",13199
19,talks &amp; meetings,13116
20,"texas, usa",13110
21,north america,13072
22,public utilities commissions,13066
23,"virginia, usa",12889
24,"ohio, usa",12646
25,trends,12608
26,us state government,12578
27,europe,12456
28,students &amp; student life,11964
29,legislation,11698
30,prices,11545
31,colleges &amp; universities,11431
32,armies,11414
33,college &amp; university professors,11369
34,general releases,11103
35,china,10962
36,approvals,10495
37,market research,10363
38,engineering,10350
39,managers &amp; supervisors,10179
40,lawyers,10146
41,market research &amp; analysis,10076
42,"pennsylvania, usa",9946
43,agreements,9931
44,armed forces,9837
45,"columbus, oh, usa",9836
46,asia,9820
47,banking &amp; finance,9727
48,us army,9405
49,investigations,8933
50,law enforcement,8740
51,india,8619
52,"florida, usa",8447
53,united kingdom,8442
54,hearings &amp; orders,8408
55,facebook inc,8339
56,fb (nasdaq),8339
57,stock exchanges,8180
58,research reports,8018
59,sports &amp; recreation events,7918
60,diseases &amp; disorders,7917
61,manufacturing output,7764
62,children,7692
63,us navy,7667
64,law courts &amp; tribunals,7653
65,college &amp; university sports,7629
66,litigation,7610
67,small business,7439
68,navies,7422
69,internet social networking,7416
70,market size,7359
71,us republican party,7309
72,computer software,7162
73,"maryland, usa",7120
74,common stock,7023
75,education systems &amp; institutions,6890
76,energy &amp; utility regulation &amp; policy,6653
77,gaming &amp; lotteries,6648
78,contracts law,6574
79,securities law,6541
80,patents,6379
81,banking &amp; finance regulation,6371
82,judges,6369
83,company strategy,6331
84,environment &amp; natural resources,6308
85,"north carolina, usa",6280
86,health care,6240
87,health departments,6177
88,economic news,6119
89,japan,6084
90,new products,5932
91,us air force,5917
92,germany,5908
93,stock prices,5864
94,taxes &amp; taxation,5848
95,output &amp; demand,5848
96,market share,5844
97,tests for ineffective assistance of counsel,5804
98,defense contracting,5800
99,family,5787
100,"illinois, usa",5763
101,"massachusetts, usa",5722
102,"ontario, canada",5708
103,"british columbia, canada",5574
104,international trade,5560
105,"austin, tx, usa",5559
106,air forces,5472
107,boards of directors,5323
108,real estate,5279
109,"new york, ny, usa",5223
110,libraries,5210
111,defense logistics agency,5188
112,regional &amp; local governments,5187
113,natural gas &amp; electric utilities,5162
114,electric power plants,5160
115,conferences &amp; conventions,5139
116,"harrisburg, pa, usa",5107
117,editorials &amp; opinions,5094
118,graduate &amp; professional schools,5088
119,news briefs,5083
120,shareholders,5066
121,collegiate sports organizations,5049
122,special investigative forces,5037
123,public policy,4968
124,religion,4911
125,alliances &amp; partnerships,4867
126,financial performance &amp; reports,4813
127,appointments,4812
128,relations with governments,4780
129,construction,4767
130,city government,4726
131,national security,4723
132,athletes,4699
133,consumers,4681
134,holding companies,4646
135,business &amp; professional associations,4625
136,australia,4574
137,budgets,4565
138,artists &amp; performers,4546
139,justice departments,4536
140,manufacturing facilities,4478
141,police forces,4451
142,"toronto, on, canada",4428
143,retailers,4403
144,export trade,4400
145,defense departments,4382
146,high schools,4377
147,economic development,4366
148,agriculture departments,4348
149,"arizona, usa",4341
150,"vancouver, bc, canada",4340
151,research &amp; development,4338
152,pharmaceuticals industry,4333
153,social media,4316
154,import trade,4299
155,internet &amp; www,4282
156,cities,4278
157,us democratic party,4276
158,cannabis,4264
159,coaches &amp; trainers,4261
160,tournaments,4233
161,agency rulemaking,4223
162,entrepreneurship,4177
163,nonprofit organizations,4174
164,conservation,4169
165,small business contracting,4154
166,corrections,4137
167,company structures &amp; ownership,4137
168,physicians &amp; surgeons,4135
169,"minnesota, usa",4092
170,petitions,4089
171,"georgia, usa",4063
172,mobile &amp; cellular telephones,4040
173,women,4009
174,google inc,4008
175,european union,4007
176,customer service,3998
177,"colorado, usa",3984
178,"michigan, usa",3983
179,sports &amp; recreation,3983
180,economic conditions,3981
181,middle east,3953
182,weather,3906
183,commerce departments,3887
184,financial results,3883
185,museums &amp; galleries,3875
186,"washington, usa",3860
187,united nations,3805
188,county government,3781
189,"missouri, usa",3722
190,energy &amp; utility policy,3715
191,history,3709
192,"london, england",3702
193,currencies,3700
194,science &amp; technology,3698
195,france,3688
196,"new jersey, usa",3681
197,"richmond, va, usa",3670
198,"boston, ma, usa",3657
199,national libraries,3637
200,professional workers,3621
201,market segmentation,3617
202,"sacramento, ca, usa",3563
203,military weapons,3554
204,political parties,3541
205,"iowa, usa",3539
206,grants &amp; gifts,3535
207,"oregon, usa",3535
208,branding,3517
209,oil &amp; gas industry,3474
210,blogs &amp; message boards,3457
211,naics511210 software publishers,3440
212,electric power industry,3378
213,educational institution employees,3377
214,company earnings,3377
215,"albany, ny, usa",3368
216,risk management,3355
217,wounds &amp; injuries,3350
218,energy regulation,3344
219,us federal energy regulatory commission,3340
220,telecommunications,3329
221,rankings,3325
222,singers &amp; musicians,3307
223,teaching &amp; teachers,3286
224,natural resources,3269
225,research institutes,3263
226,consumption,3221
227,public schools,3218
228,civil engineering,3217
229,cancer,3214
230,wildlife,3193
231,business forecasts,3191
232,"san francisco bay area, ca, usa",3184
233,tax law,3181
234,hotels &amp; motels,3166
235,elections,3146
236,counties,3139
237,msft (nasdaq),3139
238,sentencing,3139
239,natural gas products,3133
240,microsoft corp,3129
241,industry trends,3112
242,emissions,3107
243,"wisconsin, usa",3101
244,campaigns &amp; elections,3096
245,polls &amp; surveys,3093
246,pollution &amp; environmental impacts,3091
247,prisons,3067
248,government procurement,3057
249,international relations,3025
250,visual artists,3009
251,music,2999
252,national parks,2998
253,sales &amp; selling,2997
254,"indiana, usa",2982
255,natural gas,2982
256,"raleigh, nc, usa",2981
257,festivals,2977
258,public hearings,2972
259,criminal investigations,2937
260,naics519130 internet publishing &amp; broadcasting &amp; web search portals,2936
261,small business assistance,2915
262,africa,2899
263,terrorism,2891
264,public health administration,2884
265,"connecticut, usa",2882
266,health care professionals,2882
267,environmental departments,2879
268,rules &amp; regulations,2854
269,"tennessee, usa",2850
270,stadiums &amp; arenas,2849
271,consulting services,2842
272,statements of opinion,2838
273,suits &amp; claims,2829
274,fixed-price contracts,2822
275,arrests,2774
276,computer networks,2764
277,soccer,2756
278,"kentucky, usa",2755
279,"los angeles, ca, usa",2749
280,community colleges,2739
281,heads of state &amp; government,2725
282,product innovation,2694
283,public finance,2693
284,product development,2693
285,company profits,2680
286,energy efficiency &amp; conservation,2676
287,celebrities,2664
288,sales figures,2663
289,electricity transmission &amp; distribution,2660
290,goog (nasdaq),2659
291,jail sentencing,2652
292,economic growth,2643
293,awards &amp; prizes,2629
294,prime ministers,2629
295,restaurants,2624
296,internet retailing,2611
297,donald trump,2606
298,us congress,2599
299,decisions &amp; rulings,2599
300,government budgets,2581
301,sic4911 electric services,2575
302,pharmaceuticals product development,2569
303,us presidents,2555
304,industry analysts,2551
305,mines &amp; mining,2549
306,emerging markets,2548
307,governors,2535
308,cloud computing,2532
309,united nations institutions,2519
310,customer relations,2509
311,labor force,2497
312,interest rates,2491
313,brazil,2488
314,information security &amp; privacy,2483
315,anniversaries,2478
316,politics,2463
317,naics325412 pharmaceutical preparation manufacturing,2461
318,administrative procedure,2450
319,nuclear power industry,2442
320,"philadelphia, pa, usa",2438
321,baseball,2426
322,humanities &amp; social science,2421
323,public libraries,2417
324,"oklahoma, usa",2415
325,"chicago, il, usa",2409
326,secondary schools,2404
327,state departments &amp; foreign services,2397
328,"atlanta, ga, usa",2397
329,international assistance,2397
330,"des moines, ia, usa",2391
331,land use planning,2387
332,licenses &amp; permits,2387
333,alternative &amp; renewable energy,2382
334,water resources,2377
335,interim financial results,2375
336,integrated disclosure,2372
337,wages &amp; salaries,2367
338,industry sector performance,2358
339,electronic commerce,2338
340,business operations,2335
341,"new hampshire, usa",2330
342,naics522110 commercial banking,2323
343,sic7372 prepackaged software,2316
344,exhibitions,2307
345,criminal offenses,2291
346,environmental law,2286
347,public records,2270
348,latin america,2267
349,immigration,2265
350,tax authorities,2264
351,primary schools,2263
352,department of veterans affairs,2262
353,negative personal news,2255
354,securities trading,2250
355,geology &amp; geophysics,2242
356,customer satisfaction,2235
357,job creation,2227
358,medical treatments &amp; procedures,2224
359,solar energy,2224
360,oncology,2219
361,barack obama,2218
362,basketball,2207
363,drug design &amp; discovery,2206
364,experimentation &amp; research,2200
365,agriculture,2192
366,naics212221 gold ore mining,2181
367,forward looking statements,2180
368,criminal convictions,2177
369,sustainable development,2176
370,water supply utilities,2171
371,sponsorship,2168
372,england,2167
373,european union member states,2164
374,"louisiana, usa",2163
375,marijuana,2163
